district,amphoe,province,zipcode,district_code,amphoe_code,province_code
คลองท่อมเหนือ,คลองท่อม,กระบี่,81120,810402,8104,81
คลองท่อมใต้,คลองท่อม,กระบี่,81120,810401,8104,81
คลองพน,คลองท่อม,กระบี่,81170,810403,8104,81
ทรายขาว,คลองท่อม,กระบี่,81170,810404,8104,81
พรุดินนา,คลองท่อม,กระบี่,81120,810406,8104,81
ห้วยน้ำขาว,คลองท่อม,กระบี่,81120,810405,8104,81
เพหลา,คลองท่อม,กระบี่,81120,810407,8104,81
คีรีวง,ปลายพระยา,กระบี่,81160,810604,8106,81
ปลายพระยา,ปลายพระยา,กระบี่,81160,810599,8106,81
เขาต่อ,ปลายพระยา,กระบี่,81160,810598,8106,81
เขาเขน,ปลายพระยา,กระบี่,81160,810597,8106,81
ดินอุดม,ลำทับ,กระบี่,81190,810702,8107,81
ดินแดง,ลำทับ,กระบี่,81190,810704,8107,81
ทุ่งไทรทอง,ลำทับ,กระบี่,81190,810703,8107,81
ลำทับ,ลำทับ,กระบี่,81190,810499,8107,81
คลองยา,อ่าวลึก,กระบี่,81110,810508,8105,81
คลองหิน,อ่าวลึก,กระบี่,81110,810504,8105,81
นาเหนือ,อ่าวลึก,กระบี่,81110,810503,8105,81
บ้านกลาง,อ่าวลึก,กระบี่,81110,810509,8105,81
อ่าวลึกน้อย,อ่าวลึก,กระบี่,81110,810505,8105,81
อ่าวลึกเหนือ,อ่าวลึก,กระบี่,81110,810506,8105,81
อ่าวลึกใต้,อ่าวลึก,กระบี่,81110,810501,8105,81
เขาใหญ่,อ่าวลึก,กระบี่,81110,810507,8105,81
แหลมสัก,อ่าวลึก,กระบี่,81110,810502,8105,81
คลองยาง,เกาะลันตา,กระบี่,81120,810304,8103,81
ศาลาด่าน,เกาะลันตา,กระบี่,81150,810305,8103,81
เกาะกลาง,เกาะลันตา,กระบี่,81120,810303,8103,81
เกาะลันตาน้อย,เกาะลันตา,กระบี่,81150,810302,8103,81
เกาะลันตาใหญ่,เกาะลันตา,กระบี่,81150,810301,8103,81
พรุเตียว,เขาพนม,กระบี่,81140,810204,8102,81
สินปุน,เขาพนม,กระบี่,80240,810203,8102,81
หน้าเขา,เขาพนม,กระบี่,81140,810205,8102,81
เขาดิน,เขาพนม,กระบี่,81140,810202,8102,81
เขาพนม,เขาพนม,กระบี่,81140,810201,8102,81
โคกหาร,เขาพนม,กระบี่,80240,810206,8102,81
กระบี่น้อย,เมืองกระบี่,กระบี่,81000,810103,8101,81
กระบี่ใหญ่,เมืองกระบี่,กระบี่,81000,810102,8101,81
คลองประสงค์,เมืองกระบี่,กระบี่,81000,810118,8101,81
ทับปริก,เมืองกระบี่,กระบี่,81000,810111,8101,81
ปากน้ำ,เมืองกระบี่,กระบี่,81000,810101,8101,81
หนองทะเล,เมืองกระบี่,กระบี่,81180,810117,8101,81
อ่าวนาง,เมืองกระบี่,กระบี่,81000,810116,8101,81
เขาคราม,เมืองกระบี่,กระบี่,81000,810105,8101,81
เขาทอง,เมืองกระบี่,กระบี่,81000,810106,8101,81
ไสไทย,เมืองกระบี่,กระบี่,81000,810115,8101,81
คลองขนาน,เหนือคลอง,กระบี่,81130,810107,8108,81
คลองเขม้า,เหนือคลอง,กระบี่,81130,810108,8108,81
ตลิ่งชัน,เหนือคลอง,กระบี่,81130,810110,8108,81
ปกาสัย,เหนือคลอง,กระบี่,81130,810112,8108,81
ห้วยยูง,เหนือคลอง,กระบี่,81130,810113,8108,81
เกาะศรีบอยา,เหนือคลอง,กระบี่,81130,810104,8108,81
เหนือคลอง,เหนือคลอง,กระบี่,81130,810114,8108,81
โคกยาง,เหนือคลอง,กระบี่,81130,810109,8108,81
คลองต้นไทร,คลองสาน,กรุงเทพมหานคร,10600,101804,1018,10
คลองสาน,คลองสาน,กรุงเทพมหานคร,10600,101599,1018,10
บางลำภูล่าง,คลองสาน,กรุงเทพมหานคร,10600,101803,1018,10
สมเด็จเจ้าพระยา,คลองสาน,กรุงเทพมหานคร,10600,101801,1018,10
ทรายกองดิน,คลองสามวา,กรุงเทพมหานคร,10510,101004,1046,10
ทรายกองดินใต้,คลองสามวา,กรุงเทพมหานคร,10510,101005,1046,10
บางชัน,คลองสามวา,กรุงเทพมหานคร,10510,101003,1046,10
สามวาตะวันตก,คลองสามวา,กรุงเทพมหานคร,10510,101007,1046,10
สามวาตะวันออก,คลองสามวา,กรุงเทพมหานคร,10510,101006,1046,10
คลองตัน,คลองเตย,กรุงเทพมหานคร,10110,100902,1033,10
คลองเตย,คลองเตย,กรุงเทพมหานคร,10110,100901,1033,10
พระโขนง,คลองเตย,กรุงเทพมหานคร,10110,100903,1033,10
พระโขนง,คลองเตย,กรุงเทพมหานคร,10260,100903,1033,10
คันนายาว,คันนายาว,กรุงเทพมหานคร,10230,100606,1043,10
รามอินทรา,คันนายาว,กรุงเทพมหานคร,10230,False,1043,10
จตุจักร,จตุจักร,กรุงเทพมหานคร,10900,103005,1030,10
จอมพล,จตุจักร,กรุงเทพมหานคร,10900,103004,1030,10
จันทรเกษม,จตุจักร,กรุงเทพมหานคร,10900,103003,1030,10
ลาดยาว,จตุจักร,กรุงเทพมหานคร,10900,100501,1030,10
เสนานิคม,จตุจักร,กรุงเทพมหานคร,10900,103002,1030,10
จอมทอง,จอมทอง,กรุงเทพมหานคร,10150,102102,1035,10
บางขุนเทียน,จอมทอง,กรุงเทพมหานคร,10150,102103,1035,10
บางค้อ,จอมทอง,กรุงเทพมหานคร,10150,102101,1035,10
บางมด,จอมทอง,กรุงเทพมหานคร,10150,102106,1035,10
ดอนเมือง,ดอนเมือง,กรุงเทพมหานคร,10210,False,1036,10
สนามบิน,ดอนเมือง,กรุงเทพมหานคร,10210,False,1036,10
สีกัน,ดอนเมือง,กรุงเทพมหานคร,10210,100505,1036,10
ดินแดง,ดินแดง,กรุงเทพมหานคร,10400,101703,1026,10
ดุสิต,ดุสิต,กรุงเทพมหานคร,10300,100201,1002,10
ถนนนครไชยศรี,ดุสิต,กรุงเทพมหานคร,10300,100206,1002,10
วชิรพยาบาล,ดุสิต,กรุงเทพมหานคร,10300,100202,1002,10
สวนจิตรลดา,ดุสิต,กรุงเทพมหานคร,10300,100203,1002,10
สวนจิตรลดา,ดุสิต,กรุงเทพมหานคร,10303,100203,1002,10
สี่แยกมหานาค,ดุสิต,กรุงเทพมหานคร,10300,100204,1002,10
คลองชักพระ,ตลิ่งชัน,กรุงเทพมหานคร,10170,101901,1019,10
ฉิมพลี,ตลิ่งชัน,กรุงเทพมหานคร,10170,101903,1019,10
ตลิ่งชัน,ตลิ่งชัน,กรุงเทพมหานคร,10170,101902,1019,10
บางพรม,ตลิ่งชัน,กรุงเทพมหานคร,10170,101904,1019,10
บางระมาด,ตลิ่งชัน,กรุงเทพมหานคร,10170,101905,1019,10
บางเชือกหนัง,ตลิ่งชัน,กรุงเทพมหานคร,10170,101907,1019,10
ทวีวัฒนา,ทวีวัฒนา,กรุงเทพมหานคร,10170,101906,1048,10
ศาลาธรรมสพน์,ทวีวัฒนา,กรุงเทพมหานคร,10170,101908,1048,10
ทุ่งครุ,ทุ่งครุ,กรุงเทพมหานคร,10140,102404,1049,10
บางมด,ทุ่งครุ,กรุงเทพมหานคร,10140,102106,1049,10
ดาวคะนอง,ธนบุรี,กรุงเทพมหานคร,10600,101506,1015,10
ตลาดพลู,ธนบุรี,กรุงเทพมหานคร,10600,101505,1015,10
บางยี่เรือ,ธนบุรี,กรุงเทพมหานคร,10600,101503,1015,10
บุคคโล,ธนบุรี,กรุงเทพมหานคร,10600,101504,1015,10
วัดกัลยาณ์,ธนบุรี,กรุงเทพมหานคร,10600,101501,1015,10
สำเหร่,ธนบุรี,กรุงเทพมหานคร,10600,101507,1015,10
หิรัญรูจี,ธนบุรี,กรุงเทพมหานคร,10600,101502,1015,10
บางขุนนนท์,บางกอกน้อย,กรุงเทพมหานคร,10700,102006,1020,10
บางขุนศรี,บางกอกน้อย,กรุงเทพมหานคร,10700,102007,1020,10
บ้านช่างหล่อ,บางกอกน้อย,กรุงเทพมหานคร,10700,102005,1020,10
ศิริราช,บางกอกน้อย,กรุงเทพมหานคร,10700,102004,1020,10
อรุณอัมรินทร์,บางกอกน้อย,กรุงเทพมหานคร,10700,False,1020,10
วัดท่าพระ,บางกอกใหญ่,กรุงเทพมหานคร,10600,101602,1016,10
วัดอรุณ,บางกอกใหญ่,กรุงเทพมหานคร,10600,101601,1016,10
คลองจั่น,บางกะปิ,กรุงเทพมหานคร,10240,100601,1006,10
หัวหมาก,บางกะปิ,กรุงเทพมหานคร,10240,100608,1006,10
หัวหมาก,บางกะปิ,กรุงเทพมหานคร,10250,100608,1006,10
ท่าข้าม,บางขุนเทียน,กรุงเทพมหานคร,10150,102105,1021,10
แสมดำ,บางขุนเทียน,กรุงเทพมหานคร,10150,102107,1021,10
บางคอแหลม,บางคอแหลม,กรุงเทพมหานคร,10120,101207,1031,10
บางโคล่,บางคอแหลม,กรุงเทพมหานคร,10120,101206,1031,10
วัดพระยาไกร,บางคอแหลม,กรุงเทพมหานคร,10120,101205,1031,10
บางซื่อ,บางซื่อ,กรุงเทพมหานคร,10800,100205,1029,10
วงศ์สว่าง,บางซื่อ,กรุงเทพมหานคร,10800,False,1029,10
บางนาเหนือ,บางนา,กรุงเทพมหานคร,10260,100904,1047,10
บางนาใต้,บางนา,กรุงเทพมหานคร,10260,100904,1047,10
บางบอน,บางบอน,กรุงเทพมหานคร,10150,102104,1050,10
บางบำหรุ,บางพลัด,กรุงเทพมหานคร,10700,102002,1025,10
บางพลัด,บางพลัด,กรุงเทพมหานคร,10700,102001,1025,10
บางยี่ขัน,บางพลัด,กรุงเทพมหานคร,10700,102008,1025,10
บางอ้อ,บางพลัด,กรุงเทพมหานคร,10700,102003,1025,10
บางรัก,บางรัก,กรุงเทพมหานคร,10500,100404,1004,10
มหาพฤฒาราม,บางรัก,กรุงเทพมหานคร,10500,100401,1004,10
สีลม,บางรัก,กรุงเทพมหานคร,10500,100402,1004,10
สี่พระยา,บางรัก,กรุงเทพมหานคร,10500,100405,1004,10
สุริยวงศ์,บางรัก,กรุงเทพมหานคร,10500,100403,1004,10
ท่าแร้ง,บางเขน,กรุงเทพมหานคร,10220,100508,1005,10
ท่าแร้ง,บางเขน,กรุงเทพมหานคร,10230,100508,1005,10
อนุสาวรีย์,บางเขน,กรุงเทพมหานคร,10220,100502,1005,10
บางแค,บางแค,กรุงเทพมหานคร,10160,102203,1040,10
บางแคเหนือ,บางแค,กรุงเทพมหานคร,10160,102204,1040,10
บางไผ่,บางแค,กรุงเทพมหานคร,10160,102205,1040,10
หลักสอง,บางแค,กรุงเทพมหานคร,10160,102301,1040,10
คลองกุ่ม,บึงกุ่ม,กรุงเทพมหานคร,10230,100604,1027,10
คลองกุ่ม,บึงกุ่ม,กรุงเทพมหานคร,10240,100604,1027,10
นวมินทร์,บึงกุ่ม,กรุงเทพมหานคร,10230,False,1027,10
นวลจันทร์,บึงกุ่ม,กรุงเทพมหานคร,10230,False,1027,10
ปทุมวัน,ปทุมวัน,กรุงเทพมหานคร,10330,100703,1007,10
รองเมือง,ปทุมวัน,กรุงเทพมหานคร,10330,100701,1007,10
ลุมพินี,ปทุมวัน,กรุงเทพมหานคร,10330,100704,1007,10
วังใหม่,ปทุมวัน,กรุงเทพมหานคร,10330,100702,1007,10
วังใหม่,ปทุมวัน,กรุงเทพมหานคร,10110,100702,1007,10
วังใหม่,ปทุมวัน,กรุงเทพมหานคร,10120,100702,1007,10
วังใหม่,ปทุมวัน,กรุงเทพมหานคร,10400,100702,1007,10
วังใหม่,ปทุมวัน,กรุงเทพมหานคร,10500,100702,1007,10
ดอกไม้,ประเวศ,กรุงเทพมหานคร,10250,100909,1032,10
ประเวศ,ประเวศ,กรุงเทพมหานคร,10250,100908,1032,10
หนองบอน,ประเวศ,กรุงเทพมหานคร,10250,100907,1032,10
คลองมหานาค,ป้อมปราบศัตรูพ่าย,กรุงเทพมหานคร,10100,100803,1008,10
บ้านบาตร,ป้อมปราบศัตรูพ่าย,กรุงเทพมหานคร,10100,100804,1008,10
ป้อมปราบ,ป้อมปราบศัตรูพ่าย,กรุงเทพมหานคร,10100,100801,1008,10
วัดเทพศิรินทร์,ป้อมปราบศัตรูพ่าย,กรุงเทพมหานคร,10100,100802,1008,10
วัดโสมนัส,ป้อมปราบศัตรูพ่าย,กรุงเทพมหานคร,10100,100805,1008,10
สามเสนใน,พญาไท,กรุงเทพมหานคร,10400,100299,1014,10
ชนะสงคราม,พระนคร,กรุงเทพมหานคร,10200,100109,1001,10
ตลาดยอด,พระนคร,กรุงเทพมหานคร,10200,100108,1001,10
บวรนิเวศ,พระนคร,กรุงเทพมหานคร,10200,100107,1001,10
บางขุนพรหม,พระนคร,กรุงเทพมหานคร,10200,100111,1001,10
บ้านพานถม,พระนคร,กรุงเทพมหานคร,10200,100110,1001,10
พระบรมมหาราชวัง,พระนคร,กรุงเทพมหานคร,10200,100101,1001,10
วังบูรพาภิรมย์,พระนคร,กรุงเทพมหานคร,10200,100102,1001,10
วัดราชบพิธ,พระนคร,กรุงเทพมหานคร,10200,100103,1001,10
วัดสามพระยา,พระนคร,กรุงเทพมหานคร,10200,100112,1001,10
ศาลเจ้าพ่อเสือ,พระนคร,กรุงเทพมหานคร,10200,100105,1001,10
สำราญราษฎร์,พระนคร,กรุงเทพมหานคร,10200,100104,1001,10
เสาชิงช้า,พระนคร,กรุงเทพมหานคร,10200,100106,1001,10
บางจาก,พระโขนง,กรุงเทพมหานคร,10260,100905,1009,10
คลองขวาง,ภาษีเจริญ,กรุงเทพมหานคร,10160,102208,1022,10
คูหาสวรรค์,ภาษีเจริญ,กรุงเทพมหานคร,10160,102210,1022,10
บางจาก,ภาษีเจริญ,กรุงเทพมหานคร,10160,100905,1022,10
บางด้วน,ภาษีเจริญ,กรุงเทพมหานคร,10160,102202,1022,10
บางหว้า,ภาษีเจริญ,กรุงเทพมหานคร,10160,102201,1022,10
บางแวก,ภาษีเจริญ,กรุงเทพมหานคร,10160,102207,1022,10
ปากคลองภาษีเจริญ,ภาษีเจริญ,กรุงเทพมหานคร,10160,102209,1022,10
มีนบุรี,มีนบุรี,กรุงเทพมหานคร,10510,101001,1010,10
แสนแสบ,มีนบุรี,กรุงเทพมหานคร,10510,101002,1010,10
ช่องนนทรี,ยานนาวา,กรุงเทพมหานคร,10120,101203,1012,10
บางโพงพาง,ยานนาวา,กรุงเทพมหานคร,10120,101204,1012,10
ถนนพญาไท,ราชเทวี,กรุงเทพมหานคร,10400,101405,1037,10
ถนนเพชรบุรี,ราชเทวี,กรุงเทพมหานคร,10400,101402,1037,10
ทุ่งพญาไท,ราชเทวี,กรุงเทพมหานคร,10400,101403,1037,10
มักกะสัน,ราชเทวี,กรุงเทพมหานคร,10400,101404,1037,10
บางปะกอก,ราษฎร์บูรณะ,กรุงเทพมหานคร,10140,102402,1024,10
ราษฎร์บูรณะ,ราษฎร์บูรณะ,กรุงเทพมหานคร,10140,102401,1024,10
ขุมทอง,ลาดกระบัง,กรุงเทพมหานคร,10520,101106,1011,10
คลองสองต้นนุ่น,ลาดกระบัง,กรุงเทพมหานคร,10520,101102,1011,10
คลองสามประเวศ,ลาดกระบัง,กรุงเทพมหานคร,10520,101103,1011,10
ทับยาว,ลาดกระบัง,กรุงเทพมหานคร,10520,101105,1011,10
ลาดกระบัง,ลาดกระบัง,กรุงเทพมหานคร,10520,101101,1011,10
ลำปลาทิว,ลาดกระบัง,กรุงเทพมหานคร,10520,101104,1011,10
จรเข้บัว,ลาดพร้าว,กรุงเทพมหานคร,10230,100607,1038,10
ลาดพร้าว,ลาดพร้าว,กรุงเทพมหานคร,10230,100603,1038,10
คลองเจ้าคุณสิงห์,วังทองหลาง,กรุงเทพมหานคร,10310,False,1045,10
พลับพลา,วังทองหลาง,กรุงเทพมหานคร,10310,False,1045,10
วังทองหลาง,วังทองหลาง,กรุงเทพมหานคร,10310,100602,1045,10
สะพานสอง,วังทองหลาง,กรุงเทพมหานคร,10310,False,1045,10
คลองตันเหนือ,วัฒนา,กรุงเทพมหานคร,10110,103305,1039,10
คลองเตยเหนือ,วัฒนา,กรุงเทพมหานคร,10110,103304,1039,10
พระโขนงเหนือ,วัฒนา,กรุงเทพมหานคร,10110,103306,1039,10
พระโขนงเหนือ,วัฒนา,กรุงเทพมหานคร,10260,103306,1039,10
สวนหลวง,สวนหลวง,กรุงเทพมหานคร,10250,100906,1034,10
อ่อนนุช,สวนหลวง,กรุงเทพมหานคร,10250,103400,1034,10
พัฒนาการ,สวนหลวง,กรุงเทพมหานคร,10250,103403,1034,10
สะพานสูง,สะพานสูง,กรุงเทพมหานคร,10240,100605,1044,10
สะพานสูง,สะพานสูง,กรุงเทพมหานคร,10250,100605,1044,10
ราษฎร์พัฒนา,สะพานสูง,กรุงเทพมหานคร,10240,104402,1044,10
ทับช้าง,สะพานสูง,กรุงเทพมหานคร,10250,104403,1044,10
จักรวรรดิ์,สัมพันธวงศ์,กรุงเทพมหานคร,10100,False,1013,10
ตลาดน้อย,สัมพันธวงศ์,กรุงเทพมหานคร,10100,101303,1013,10
สัมพันธวงศ์,สัมพันธวงศ์,กรุงเทพมหานคร,10100,101302,1013,10
ทุ่งมหาเมฆ,สาทร,กรุงเทพมหานคร,10120,101208,1028,10
ทุ่งวัดดอน,สาทร,กรุงเทพมหานคร,10120,101201,1028,10
ยานนาวา,สาทร,กรุงเทพมหานคร,10120,101202,1028,10
คลองถนน,สายไหม,กรุงเทพมหานคร,10220,100503,1042,10
สายไหม,สายไหม,กรุงเทพมหานคร,10220,100506,1042,10
ออเงิน,สายไหม,กรุงเทพมหานคร,10220,100509,1042,10
กระทุ่มราย,หนองจอก,กรุงเทพมหานคร,10530,100301,1003,10
คลองสิบ,หนองจอก,กรุงเทพมหานคร,10530,100303,1003,10
คลองสิบสอง,หนองจอก,กรุงเทพมหานคร,10530,100304,1003,10
คู้ฝั่งเหนือ,หนองจอก,กรุงเทพมหานคร,10530,100306,1003,10
ลำต้อยติ่ง,หนองจอก,กรุงเทพมหานคร,10530,100308,1003,10
ลำผักชี,หนองจอก,กรุงเทพมหานคร,10530,100307,1003,10
หนองจอก,หนองจอก,กรุงเทพมหานคร,10530,100302,1003,10
โคกแฝด,หนองจอก,กรุงเทพมหานคร,10530,100305,1003,10
หนองค้างพลู,หนองแขม,กรุงเทพมหานคร,10160,102303,1023,10
หนองแขม,หนองแขม,กรุงเทพมหานคร,10160,102302,1023,10
ตลาดบางเขน,หลักสี่,กรุงเทพมหานคร,10210,100504,1041,10
ทุ่งสองห้อง,หลักสี่,กรุงเทพมหานคร,10210,100507,1041,10
บางกะปิ,ห้วยขวาง,กรุงเทพมหานคร,10310,101702,1017,10
สามเสนนอก,ห้วยขวาง,กรุงเทพมหานคร,10310,101704,1017,10
ห้วยขวาง,ห้วยขวาง,กรุงเทพมหานคร,10310,101701,1017,10
กลอนโด,ด่านมะขามเตี้ย,กาญจนบุรี,71260,710115,7111,71
จรเข้เผือก,ด่านมะขามเตี้ย,กาญจนบุรี,71260,710114,7111,71
ด่านมะขามเตี้ย,ด่านมะขามเตี้ย,กาญจนบุรี,71260,710112,7111,71
หนองไผ่,ด่านมะขามเตี้ย,กาญจนบุรี,71260,711104,7111,71
ชะแล,ทองผาภูมิ,กาญจนบุรี,71180,710705,7107,71
ท่าขนุน,ทองผาภูมิ,กาญจนบุรี,71180,710701,7107,71
ปิล๊อก,ทองผาภูมิ,กาญจนบุรี,71180,710702,7107,71
ลิ่นถิ่น,ทองผาภูมิ,กาญจนบุรี,71180,710704,7107,71
สหกรณ์นิคม,ทองผาภูมิ,กาญจนบุรี,71180,710707,7107,71
หินดาด,ทองผาภูมิ,กาญจนบุรี,71180,710703,7107,71
ห้วยเขย่ง,ทองผาภูมิ,กาญจนบุรี,71180,710706,7107,71
ดอนขมิ้น,ท่ามะกา,กาญจนบุรี,71120,710509,7105,71
ดอนชะเอม,ท่ามะกา,กาญจนบุรี,71130,710503,7105,71
ตะคร้ำเอน,ท่ามะกา,กาญจนบุรี,71130,710505,7105,71
ท่ามะกา,ท่ามะกา,กาญจนบุรี,71120,710506,7105,71
ท่าเรือ,ท่ามะกา,กาญจนบุรี,71130,710507,7105,71
ท่าเสา,ท่ามะกา,กาญจนบุรี,71120,710202,7105,71
ท่าไม้,ท่ามะกา,กาญจนบุรี,71120,710504,7105,71
พงตึก,ท่ามะกา,กาญจนบุรี,71120,710501,7105,71
พระแท่น,ท่ามะกา,กาญจนบุรี,71130,710512,7105,71
ยางม่วง,ท่ามะกา,กาญจนบุรี,71120,710502,7105,71
สนามแย้,ท่ามะกา,กาญจนบุรี,70190,710515,7105,71
หนองลาน,ท่ามะกา,กาญจนบุรี,71130,710517,7105,71
หวายเหนียว,ท่ามะกา,กาญจนบุรี,71120,710513,7105,71
อุโลกสี่หมื่น,ท่ามะกา,กาญจนบุรี,71130,710510,7105,71
เขาสามสิบหาบ,ท่ามะกา,กาญจนบุรี,71120,710511,7105,71
แสนตอ,ท่ามะกา,กาญจนบุรี,71130,710514,7105,71
โคกตะบอง,ท่ามะกา,กาญจนบุรี,71120,710508,7105,71
ทุ่งทอง,ท่าม่วง,กาญจนบุรี,71110,710606,7106,71
ท่าตะคร้อ,ท่าม่วง,กาญจนบุรี,71130,710611,7106,71
ท่าม่วง,ท่าม่วง,กาญจนบุรี,71110,710601,7106,71
ท่าล้อ,ท่าม่วง,กาญจนบุรี,71000,710604,7106,71
บ้านใหม่,ท่าม่วง,กาญจนบุรี,71110,710609,7106,71
พังตรุ,ท่าม่วง,กาญจนบุรี,71110,710610,7106,71
ม่วงชุม,ท่าม่วง,กาญจนบุรี,71110,710608,7106,71
รางสาลี่,ท่าม่วง,กาญจนบุรี,71110,710612,7106,71
วังขนาย,ท่าม่วง,กาญจนบุรี,71110,710602,7106,71
วังศาลา,ท่าม่วง,กาญจนบุรี,71110,710603,7106,71
หนองขาว,ท่าม่วง,กาญจนบุรี,71110,710605,7106,71
หนองตากยา,ท่าม่วง,กาญจนบุรี,71110,710613,7106,71
เขาน้อย,ท่าม่วง,กาญจนบุรี,71110,710607,7106,71
ช่องด่าน,บ่อพลอย,กาญจนบุรี,71160,710308,7103,71
บ่อพลอย,บ่อพลอย,กาญจนบุรี,71160,710301,7103,71
หนองกร่าง,บ่อพลอย,กาญจนบุรี,71220,710309,7103,71
หนองกุ่ม,บ่อพลอย,กาญจนบุรี,71160,710302,7103,71
หนองรี,บ่อพลอย,กาญจนบุรี,71220,710303,7103,71
หลุมรัง,บ่อพลอย,กาญจนบุรี,71160,710305,7103,71
ดอนตาเพชร,พนมทวน,กาญจนบุรี,71140,710912,7109,71
ดอนเจดีย์,พนมทวน,กาญจนบุรี,71140,710904,7109,71
ทุ่งสมอ,พนมทวน,กาญจนบุรี,71140,710903,7109,71
พนมทวน,พนมทวน,กาญจนบุรี,71140,710901,7109,71
พังตรุ,พนมทวน,กาญจนบุรี,71140,710610,7109,71
รางหวาย,พนมทวน,กาญจนบุรี,71170,710906,7109,71
หนองสาหร่าย,พนมทวน,กาญจนบุรี,71140,710911,7109,71
หนองโรง,พนมทวน,กาญจนบุรี,71140,710902,7109,71
ด่านแม่แฉลบ,ศรีสวัสดิ์,กาญจนบุรี,71250,710402,7104,71
ท่ากระดาน,ศรีสวัสดิ์,กาญจนบุรี,71250,710404,7104,71
นาสวน,ศรีสวัสดิ์,กาญจนบุรี,71250,710401,7104,71
หนองเป็ด,ศรีสวัสดิ์,กาญจนบุรี,71250,710403,7104,71
เขาโจด,ศรีสวัสดิ์,กาญจนบุรี,71220,710405,7104,71
แม่กระบุง,ศรีสวัสดิ์,กาญจนบุรี,71250,710406,7104,71
ปรังเผล,สังขละบุรี,กาญจนบุรี,71240,710802,7108,71
หนองลู,สังขละบุรี,กาญจนบุรี,71240,710801,7108,71
ไล่โว่,สังขละบุรี,กาญจนบุรี,71240,710803,7108,71
สมเด็จเจริญ,หนองปรือ,กาญจนบุรี,71220,710307,7112,71
หนองปรือ,หนองปรือ,กาญจนบุรี,71220,710304,7112,71
หนองปลาไหล,หนองปรือ,กาญจนบุรี,71220,710306,7112,71
ดอนแสลบ,ห้วยกระเจา,กาญจนบุรี,71170,710907,7113,71
วังไผ่,ห้วยกระเจา,กาญจนบุรี,71170,710910,7113,71
สระลงเรือ,ห้วยกระเจา,กาญจนบุรี,71170,710909,7113,71
ห้วยกระเจา,ห้วยกระเจา,กาญจนบุรี,71170,710908,7113,71
ช่องสะเดา,เมืองกาญจนบุรี,กาญจนบุรี,71190,710109,7101,71
ท่ามะขาม,เมืองกาญจนบุรี,กาญจนบุรี,71000,710104,7101,71
บ้านเก่า,เมืองกาญจนบุรี,กาญจนบุรี,71000,710113,7101,71
บ้านเหนือ,เมืองกาญจนบุรี,กาญจนบุรี,71000,710101,7101,71
บ้านใต้,เมืองกาญจนบุรี,กาญจนบุรี,71000,710102,7101,71
ปากแพรก,เมืองกาญจนบุรี,กาญจนบุรี,71000,710103,7101,71
ลาดหญ้า,เมืองกาญจนบุรี,กาญจนบุรี,71190,710107,7101,71
วังด้ง,เมืองกาญจนบุรี,กาญจนบุรี,71190,710108,7101,71
วังเย็น,เมืองกาญจนบุรี,กาญจนบุรี,71000,710116,7101,71
หนองบัว,เมืองกาญจนบุรี,กาญจนบุรี,71190,710106,7101,71
หนองหญ้า,เมืองกาญจนบุรี,กาญจนบุรี,71000,710110,7101,71
เกาะสำโรง,เมืองกาญจนบุรี,กาญจนบุรี,71000,710111,7101,71
แก่งเสี้ยน,เมืองกาญจนบุรี,กาญจนบุรี,71000,710105,7101,71
ทุ่งกระบ่ำ,เลาขวัญ,กาญจนบุรี,71210,711006,7110,71
หนองนกแก้ว,เลาขวัญ,กาญจนบุรี,71210,711005,7110,71
หนองประดู่,เลาขวัญ,กาญจนบุรี,71210,711003,7110,71
หนองปลิง,เลาขวัญ,กาญจนบุรี,71210,711004,7110,71
หนองฝ้าย,เลาขวัญ,กาญจนบุรี,71210,711007,7110,71
หนองโสน,เลาขวัญ,กาญจนบุรี,71210,711002,7110,71
เลาขวัญ,เลาขวัญ,กาญจนบุรี,71210,711001,7110,71
ท่าเสา,ไทรโยค,กาญจนบุรี,71150,710202,7102,71
บ้องตี้,ไทรโยค,กาญจนบุรี,71150,710207,7102,71
ลุ่มสุ่ม,ไทรโยค,กาญจนบุรี,71150,710201,7102,71
วังกระแจะ,ไทรโยค,กาญจนบุรี,71150,710205,7102,71
ศรีมงคล,ไทรโยค,กาญจนบุรี,71150,710206,7102,71
สิงห์,ไทรโยค,กาญจนบุรี,71150,710203,7102,71
ไทรโยค,ไทรโยค,กาญจนบุรี,71150,710204,7102,71
กมลาไสย,กมลาไสย,กาฬสินธุ์,46130,460301,4603,46
ดงลิง,กมลาไสย,กาฬสินธุ์,46130,460304,4603,46
ธัญญา,กมลาไสย,กาฬสินธุ์,46130,460305,4603,46
หนองแปน,กมลาไสย,กาฬสินธุ์,46130,460308,4603,46
หลักเมือง,กมลาไสย,กาฬสินธุ์,46130,460302,4603,46
เจ้าท่า,กมลาไสย,กาฬสินธุ์,46130,460310,4603,46
โคกสมบูรณ์,กมลาไสย,กาฬสินธุ์,46130,460311,4603,46
โพนงาม,กมลาไสย,กาฬสินธุ์,46130,460303,4603,46
กุดค้าว,กุฉินารายณ์,กาฬสินธุ์,46110,460512,4605,46
กุดหว้า,กุฉินารายณ์,กาฬสินธุ์,46110,460506,4605,46
จุมจัง,กุฉินารายณ์,กาฬสินธุ์,46110,460504,4605,46
นาขาม,กุฉินารายณ์,กาฬสินธุ์,46110,460508,4605,46
นาโก,กุฉินารายณ์,กาฬสินธุ์,46110,460510,4605,46
